,time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
0,2022/05/19/14:29:15.622346,316,1652938155,621344863,map,2.1828728913,-1.48723699614,1e-05,0.0,0.0,-0.0868040877281,0.996225401379
1,2022/05/19/14:29:15.822022,317,1652938155,821179011,map,2.17403534976,-1.49833577982,1e-05,0.0,0.0,-0.0868040877281,0.996225401379
2,2022/05/19/14:29:16.122405,318,1652938156,121336945,map,2.1917104341,-1.49833577982,1e-05,0.0,0.0,-0.0868040877281,0.996225401379
3,2022/05/19/14:29:16.322286,319,1652938156,321301305,map,2.2093855172,-1.49833577982,1e-05,0.0,0.0,-0.0868040877281,0.996225401379
4,2022/05/19/14:29:16.622026,320,1652938156,621266223,map,2.21822306,-1.5094345635,1e-05,0.0,0.0,-0.0868040877281,0.996225401379
5,2022/05/19/14:29:16.822187,321,1652938156,821275132,map,2.22706060155,-1.49833577982,1e-05,0.0,0.0,-0.0868040877281,0.996225401379
6,2022/05/19/14:29:17.122121,322,1652938157,121240702,map,2.24473568589,-1.5094345635,1e-05,0.0,0.0,0.140464487157,0.990085717424
7,2022/05/19/14:29:17.322072,323,1652938157,321323963,map,2.28892339614,-1.49833577982,1e-05,0.0,0.0,0.0560561455995,0.998427618078
8,2022/05/19/14:29:17.622175,324,1652938157,621299373,map,2.34194864918,-1.49833577982,1e-05,0.0,0.0,-0.178568756291,0.983927435981
9,2022/05/19/14:29:17.822523,325,1652938157,821152221,map,2.43916161122,-1.52053334719,1e-05,0.0,0.0,-0.126107725126,0.99201655312
10,2022/05/19/14:29:18.122505,326,1652938158,121344661,map,2.55404965885,-1.48723699614,1e-05,0.0,0.0,0.201308466103,0.979527897242
11,2022/05/19/14:29:18.321743,327,1652938158,321146462,map,2.66893770524,-1.4428418622,1e-05,0.0,0.0,0.479787358726,0.877384801787
12,2022/05/19/14:29:18.622056,328,1652938158,621418176,map,2.77498821007,-1.40954551115,1e-05,0.0,0.0,0.0933632981483,0.995632108039
13,2022/05/19/14:29:18.822106,329,1652938158,821242593,map,2.9163888836,-1.42064429483,1e-05,0.0,0.0,-0.134242765893,0.990948474849
14,2022/05/19/14:29:19.122375,330,1652938159,121401593,map,3.09313972458,-1.46503942877,1e-05,0.0,0.0,-0.0948849843884,0.995488241888
15,2022/05/19/14:29:19.321969,331,1652938159,321178992,map,3.25221548246,-1.52053334719,1e-05,0.0,0.0,-0.202803958723,0.979219359657
16,2022/05/19/14:29:19.621611,332,1652938159,621102660,map,3.43780386498,-1.57602726481,1e-05,0.0,0.0,-0.24146835377,0.97040869438
17,2022/05/19/14:29:19.821604,333,1652938159,821078372,map,3.61455470721,-1.63152118244,1e-05,0.0,0.0,-0.100501416663,0.994936915211
18,2022/05/19/14:29:20.122132,334,1652938160,121167619,map,3.78246800664,-1.67591631638,1e-05,0.0,0.0,-0.142801334585,0.989751372235
19,2022/05/19/14:29:20.321759,335,1652938160,321152902,map,3.95921884761,-1.70921266743,1e-05,0.0,0.0,-0.329741889683,0.94407112348
20,2022/05/19/14:29:20.622090,336,1652938160,621250442,map,4.10945706269,-1.75360780137,1e-05,0.0,0.0,-0.138382080095,0.990378917338
21,2022/05/19/14:29:20.822291,337,1652938160,821233277,map,4.27737036212,-1.78690415242,1e-05,0.0,0.0,-0.0222189180582,0.999753129368
22,2022/05/19/14:29:21.122118,338,1652938161,121252063,map,4.45412120435,-1.80910171899,1e-05,0.0,0.0,-0.13116623909,0.991360387409
