time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/03/25/14:16:24.923781,20,1648185384,923033925,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.023557,21,1648185385,23025400,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.123617,22,1648185385,123000507,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.223857,23,1648185385,223233963,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.323875,24,1648185385,323257826,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.423546,25,1648185385,422990976,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.523880,26,1648185385,523263261,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.623959,27,1648185385,623277285,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.724012,28,1648185385,723286717,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.824024,29,1648185385,823260471,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:25.923255,30,1648185385,922926258,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.023216,31,1648185386,22951482,map,719.920107693,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.123182,32,1648185386,122926142,map,719.920107693,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.223550,33,1648185386,223189487,map,719.920107693,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.323807,34,1648185386,323211642,map,719.920107693,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.423638,35,1648185386,422987696,map,719.920107693,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.523859,36,1648185386,523218541,map,719.920107693,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.623676,37,1648185386,623040107,map,719.920107693,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.723954,38,1648185386,723218487,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.823897,39,1648185386,823216755,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:26.923911,40,1648185386,923218770,map,719.911269872,109.211986256,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:27.023874,41,1648185387,23191885,map,719.911269872,109.200887477,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:27.123939,42,1648185387,123192941,map,719.911269872,109.200887477,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:27.223853,43,1648185387,223177284,map,719.911269872,109.200887477,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
2022/03/25/14:16:27.323894,44,1648185387,323211510,map,719.911269872,109.200887477,0.0,0.0,-0.0,-0.999315977568,-0.0369807649712
